X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0000000000 1764.586022 2288170.571959 4.499579 5.000000e-06 0.000000e+00 333.301809 -9.131785e+03
0.0000090706 1765.011027 2288653.311383 4.499449 4.999957e-06 1.055584e-06 333.312040 -5.329863e+08
0.0000181412 1765.431242 2289135.089801 4.499327 4.999914e-06 1.638780e-06 333.321643 -8.798924e+08
0.0000272118 1765.847209 2289615.780110 4.499213 4.999870e-06 1.953062e-06 333.330691 -1.099661e+09
0.0000531830 1767.012011 2290983.315000 4.498932 4.999742e-06 2.246165e-06 333.353200 -1.382156e+09
0.0000791542 1768.150571 2292340.885930 4.498697 4.999610e-06 2.324643e-06 333.372348 -1.511880e+09
0.0001051254 1769.264041 2293688.268727 4.498506 4.999475e-06 2.361939e-06 333.388323 -1.588681e+09
0.0002230557 1773.903429 2299625.134937 4.498338 4.998798e-06 2.497418e-06 333.409860 -1.807149e+09
0.0003409859 1778.115016 2305360.753381 4.498855 4.998042e-06 2.640649e-06 333.381695 -1.933505e+09
0.0004589162 1781.932993 2310892.677051 4.499959 4.997198e-06 2.798081e-06 333.311202 -1.913271e+09
0.0006385678 1787.178166 2318970.446970 4.502374 4.995753e-06 3.058584e-06 333.151839 -1.422444e+09
0.0008182195 1791.762233 2326551.125731 4.505436 4.994073e-06 3.350057e-06 332.947855 -1.004005e+08
0.0009567414 1794.913407 2332027.389821 4.507999 4.992595e-06 3.594821e-06 332.778324 1.640311e+09
0.0010952633 1797.817503 2337163.841291 4.510468 4.990937e-06 3.851170e-06 332.618198 4.058037e+09
0.0012337853 1800.552589 2341951.852218 4.512621 4.989086e-06 4.113882e-06 332.484174 7.116192e+09
0.0013723072 1803.195738 2346384.259095 4.514238 4.987026e-06 4.384158e-06 332.392447 1.066358e+10
0.0015701298 1806.916906 2352099.555246 4.515348 4.983698e-06 4.764167e-06 332.354908 1.637114e+10
0.0017679523 1810.702163 2357105.385022 4.514755 4.979882e-06 5.128705e-06 332.449257 2.264479e+10
0.0019657749 1814.647135 2361436.051607 4.512301 4.975542e-06 5.468451e-06 332.687554 2.913737e+10
0.0021635975 1818.538539 2364621.938204 4.507656 4.970655e-06 5.778929e-06 333.095164 3.506242e+10
0.0023614201 1822.451256 2366811.040489 4.500958 4.965206e-06 6.049812e-06 333.663043 4.046867e+10
0.0025592427 1826.588400 2368410.072036 4.492512 4.959188e-06 6.267140e-06 334.369953 4.591372e+10
0.0027953045 1832.001997 2369867.661961 4.480337 4.951258e-06 6.443880e-06 335.383460 5.264406e+10
0.0030313664 1838.027599 2370945.107548 4.465895 4.942504e-06 6.525446e-06 336.583789 5.966659e+10
0.0032674282 1844.696487 2371622.389434 4.449117 4.932923e-06 6.513725e-06 337.979916 6.689313e+10
0.0035034901 1852.020371 2371869.343878 4.429974 4.922516e-06 6.415613e-06 339.578237 7.427957e+10
0.0037395519 1860.006977 2371681.003957 4.408508 4.911290e-06 6.241150e-06 341.380358 8.193057e+10
0.0040831777 1872.834855 2370647.823691 4.373265 4.893507e-06 5.877950e-06 344.367286 9.287843e+10
0.0044268035 1887.120430 2368720.653916 4.333461 4.874051e-06 5.418554e-06 347.788733 1.042633e+11
0.0047704293 1902.930875 2365891.300797 4.289214 4.852974e-06 4.900317e-06 351.656874 1.159659e+11
0.0051140550 1920.359551 2362136.968298 4.240584 4.830336e-06 4.355422e-06 355.992142 1.281024e+11
0.0054576808 1939.507570 2357426.342989 4.187622 4.806208e-06 3.810589e-06 360.819179 1.408263e+11
0.0059371934 1969.207427 2349210.624251 4.106797 4.770192e-06 3.114248e-06 368.409664 1.595465e+11
0.0064167060 2002.359961 2339052.372234 4.018707 4.731642e-06 2.429938e-06 377.008982 1.786560e+11
0.0068962185 2038.622869 2327020.076250 3.924950 4.690791e-06 1.756958e-06 386.564872 1.962345e+11
0.0073757311 2077.351419 2313298.852187 3.827662 4.647876e-06 7.684519e-07 396.963867 2.114522e+11
0.0078552437 2117.648978 2298300.136159 3.729509 4.603127e-06 1.216021e-06 408.029131 2.120016e+11
0.0080237886 2132.017782 2292788.263251 3.695211 4.587005e-06 9.566939e-07 412.042906 2.176558e+11
0.0080743520 2136.339784 2291107.131985 3.684951 4.582130e-06 9.107735e-07 413.257554 2.184835e+11
0.0081249155 2140.665191 2289413.806096 3.674709 4.577240e-06 8.567609e-07 414.476604 2.193876e+11
0.0081754789 2144.992584 2287711.512716 3.664492 4.572332e-06 8.805085e-07 415.699766 2.189712e+11
0.0082260424 2149.320630 2285999.613219 3.654301 4.567408e-06 8.008028e-07 416.926820 2.203075e+11
0.0082766058 2153.648841 2284280.767678 3.644141 4.562468e-06 8.686304e-07 418.157630 2.190158e+11
0.0083886512 2163.233519 2280444.443502 3.621743 4.551466e-06 8.059708e-07 420.897045 2.197740e+11
0.0085006965 2172.806776 2276565.399600 3.599496 4.540389e-06 6.961267e-07 423.652286 2.215374e+11
0.0086127418 2182.360323 2272647.021920 3.577416 4.529239e-06 6.354343e-07 426.421296 2.222133e+11
0.0087247871 2191.884286 2268697.408387 3.555529 4.518019e-06 6.183956e-07 429.201832 2.217507e+11
