X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0000000000 2223.106421 3142993.904762 4.905797 5.000000e-06 0.000000e+00 357.169211 -8.974320e+06
0.0000014100 2223.212934 3143107.247472 4.905739 4.999997e-06 1.174931e-08 357.173483 -7.265611e+08
0.0000028200 2223.319185 3143220.498987 4.905681 4.999994e-06 1.124463e-08 357.177731 -7.779599e+08
0.0000042299 2223.425237 3143333.648351 4.905624 4.999991e-06 1.102716e-08 357.181959 -7.891166e+08
0.0000183297 2224.470328 3144456.881752 4.905070 4.999961e-06 1.103892e-08 357.222714 -9.166623e+08
0.0000324295 2225.499185 3145571.488142 4.904539 4.999931e-06 1.107480e-08 357.261840 -1.009553e+09
0.0000465293 2226.512671 3146678.121031 4.904029 4.999901e-06 1.110887e-08 357.299400 -1.080383e+09
0.0001462914 2233.137289 3154246.045667 4.901220 4.999670e-06 1.140398e-08 357.507561 -1.389920e+09
0.0002460535 2239.227582 3161553.572809 4.899183 4.999421e-06 1.174901e-08 357.659823 -1.544904e+09
0.0003458157 2244.828621 3168608.939667 4.897824 4.999152e-06 1.214347e-08 357.762993 -1.545851e+09
0.0005169020 2253.560131 3180207.651609 4.896608 4.998648e-06 1.290662e-08 357.859034 -1.220690e+09
0.0006879884 2261.199613 3191116.778252 4.896665 4.998080e-06 1.381708e-08 357.863039 -5.910386e+08
0.0008590748 2267.836187 3201279.612581 4.897694 4.997437e-06 1.487916e-08 357.797115 1.683000e+08
0.0010301612 2273.595215 3210685.923510 4.899397 4.996710e-06 1.607091e-08 357.683212 1.298192e+09
0.0012614354 2280.205852 3222231.575542 4.902343 4.995581e-06 1.789678e-08 357.484449 3.215066e+09
0.0014927096 2285.725624 3232504.454852 4.905594 4.994263e-06 1.995667e-08 357.266410 5.378981e+09
0.0017239837 2290.384674 3241616.735572 4.908846 4.992736e-06 2.223349e-08 357.051655 7.400181e+09
0.0019552579 2294.364967 3249695.657813 4.911913 4.990979e-06 2.470611e-08 356.853836 8.866629e+09
0.0021865321 2297.376008 3255938.044144 4.914204 4.988975e-06 2.736764e-08 356.716077 1.048907e+10
0.0024178063 2299.710434 3260708.577622 4.915647 4.986713e-06 3.016247e-08 356.643664 1.284925e+10
0.0026490805 2301.809556 3264754.056933 4.916433 4.984182e-06 3.301956e-08 356.622756 1.529576e+10
0.0029169595 2304.250327 3269051.804468 4.916669 4.980903e-06 3.634036e-08 356.652372 1.673459e+10
0.0031848384 2306.810937 3273090.821013 4.916192 4.977237e-06 3.961646e-08 356.739100 1.972513e+10
0.0034527173 2309.533791 3276824.079124 4.914851 4.973171e-06 4.280302e-08 356.894106 2.444658e+10
0.0037205962 2312.470880 3280198.943144 4.912477 4.968696e-06 4.584706e-08 357.130065 2.700038e+10
0.0039884751 2315.677828 3283205.258073 4.908958 4.963804e-06 4.869422e-08 357.455437 3.169629e+10
0.0044068035 2321.393854 3287165.731470 4.900881 4.955320e-06 5.262014e-08 358.164465 4.123176e+10
0.0048251319 2328.187149 3290210.171303 4.889270 4.945798e-06 5.575087e-08 359.148641 5.241441e+10
0.0052434603 2336.261005 3292326.921142 4.873799 4.935238e-06 5.794499e-08 360.436770 6.030150e+10
0.0056617887 2345.731605 3293518.522590 4.854348 4.923650e-06 5.913073e-08 362.044578 6.908998e+10
0.0060801171 2356.625397 3293789.434576 4.830971 4.911051e-06 5.931447e-08 363.973707 8.079834e+10
0.0065799317 2371.410114 3292933.807840 4.798253 4.894712e-06 5.834054e-08 366.680463 9.621572e+10
0.0070797463 2387.907576 3290938.441176 4.761081 4.877023e-06 5.630568e-08 369.788054 1.010697e+11
0.0075795608 2405.808696 3288013.006590 4.720466 4.858049e-06 5.348730e-08 373.245263 1.038463e+11
0.0080793754 2424.817640 3284177.638469 4.677087 4.837865e-06 5.016387e-08 376.996848 1.177696e+11
0.0085791900 2444.675085 3279522.338892 4.631635 4.816551e-06 4.656872e-08 380.995648 1.224743e+11
0.0092405078 2471.865396 3272582.108873 4.569816 4.786760e-06 4.170478e-08 386.607142 1.156206e+11
0.0099018257 2499.804065 3264298.687427 4.506080 4.755350e-06 3.689242e-08 392.496756 1.486728e+11
0.0105631435 2528.155631 3254994.356573 4.441559 4.722531e-06 3.247253e-08 398.600984 1.409306e+11
0.0112244614 2556.570192 3245366.698573 4.377850 4.688521e-06 2.843396e-08 404.873474 1.302405e+11
0.0118857792 2584.817855 3235374.803869 4.315257 4.653537e-06 2.479893e-08 411.250499 1.382344e+11
0.0122858219 2601.730524 3229146.499280 4.278059 4.631993e-06 2.282133e-08 415.133492 1.366814e+11
0.0126858645 2618.468993 3222684.857630 4.241288 4.610218e-06 2.099030e-08 419.016550 1.437513e+11
0.0130859071 2634.933316 3216419.893972 4.205649 4.588257e-06 1.933505e-08 422.904337 1.195797e+11
0.0134859498 2651.114295 3210159.411672 4.170878 4.566159e-06 1.778696e-08 426.777604 1.326932e+11
0.0138859924 2667.005685 3203715.785385 4.136714 4.543969e-06 1.637581e-08 430.617602 1.360861e+11
0.0149145009 2706.096757 3187325.922976 4.053473 4.486939e-06 1.329400e-08 440.285818 1.247904e+11
0.0159430094 2742.455190 3171133.858378 3.976680 4.430458e-06 1.081022e-08 449.556968 1.204178e+11
0.0169715179 2775.716091 3155553.613505 3.906941 4.375439e-06 8.801893e-09 458.298913 1.106642e+11
0.0180000264 2805.531071 3141045.903620 3.844926 4.323105e-06 7.116502e-09 466.368952 1.002784e+11
0.0187335780 2824.522359 3131532.790544 3.805693 4.288326e-06 5.987842e-09 471.619529 9.212521e+10
0.0192845945 2837.380015 3125015.260093 3.779369 4.264444e-06 5.082275e-09 475.208587 8.322941e+10
0.0196695537 2845.520793 3120908.107239 3.762959 4.249695e-06 4.253118e-09 477.469278 7.511511e+10
0.0199111555 2850.211779 3118541.715568 3.753532 4.240962e-06 4.067758e-09 478.787075 6.915764e+10
0.0200941798 2853.566977 3116797.130344 3.746623 4.233942e-06 4.508279e-09 479.770629 6.838992e+10
0.0202772040 2856.872575 3114996.747775 3.739597 4.226317e-06 4.961526e-09 480.777648 7.246544e+10
0.0204602283 2860.218982 3113096.827232 3.732312 4.218110e-06 5.156319e-09 481.822663 7.726676e+10
0.0206432526 2863.657304 3111101.597406 3.724736 4.209374e-06 5.263110e-09 482.913525 8.008607e+10
0.0209025825 2868.731331 3108157.911719 3.713544 4.196166e-06 5.548661e-09 484.547838 8.020147e+10
